no_of_patched_commits,no_of_cleaned_commits,patched_commit_ratio,repo_name,repo_stars
2,40,0.05,https://github.com/google-deepmind/alphafold,13228
1,79,0.012658227848101266,https://github.com/pre-commit/pre-commit,13191
4,2318,0.001725625539257981,https://github.com/sympy/sympy,13189
11,745,0.01476510067114094,https://github.com/apache/tvm,12025
2,270,0.007407407407407408,https://github.com/huggingface/trl,12021
1,320,0.003125,https://github.com/argilla-io/argilla,3770
6,1151,0.005212858384013901,https://github.com/scikit-learn/scikit-learn,60884
1,113,0.008849557522123894,https://github.com/gevent/gevent,6290
2,35,0.05714285714285714,https://github.com/gorakhargosh/watchdog,6272
2,187,0.0106951871657754,https://github.com/pypa/hatch,6267
1,465,0.002150537634408602,https://github.com/pytest-dev/pytest,12307
2,223,0.008968609865470852,https://github.com/Gallopsled/pwntools,12263
2,9,0.2222222222222222,https://github.com/chenfei-wu/TaskMatrix,34548
1,565,0.0017699115044247787,https://github.com/huggingface/pytorch-image-models,33280
